project,project_repo,project_version,build_system,bug_report
junit-reporter,https://github.com/kncept/junit-reporter,b70e6dd7de092280b0c9938c42d725bb9a445743,gradle,https://github.com/kncept/junit-reporter/pull/14
muwire,https://github.com/zlatinb/muwire,6080c8b308051190eec5e7ac5ff309b8724f0a9e,gradle,https://github.com/zlatinb/muwire/pull/24
aeron,https://github.com/real-logic/aeron,3d7e3f9982041a3d174a6c51f84879fed805011a,gradle,https://github.com/real-logic/aeron/pull/762
conductor,https://github.com/Netflix/conductor,f0f2e5f5b0e5e6f3f5c86300c1a096cc3a81a873,gradle,https://github.com/Netflix/conductor/pull/1385
xtext-gradle-plugin,https://github.com/xtext/xtext-gradle-plugin,996a26bb281bf3828c143067f138a582fe5eb149,gradle,https://github.com/xtext/xtext-gradle-plugin/pull/163
rundeck,https://github.com/rundeck/rundeck,1f0c7b9d102271bbdc3256cc51196cb01107d60d,gradle,https://github.com/rundeck/rundeck/pull/5707
apina,https://github.com/EvidentSolutions/apina,7aef6bd6c33201de5505ef2278ab8f7e6c22c9d7,gradle,https://github.com/EvidentSolutions/apina/pull/56
caffeine,https://github.com/ben-manes/caffeine,7272f62f60218fb460b0efe57ebdf5abf341940b,gradle,https://github.com/ben-manes/caffeine/pull/383
RxAndroidBle,https://github.com/Polidea/RxAndroidBle,8ca627cd0abfe34a61f45b34b0379f1329af1c5d,gradle,https://github.com/Polidea/RxAndroidBle/pull/647
jmonkeyengine,https://github.com/jMonkeyEngine/jmonkeyengine,4d734ac297800310997b8190c4c4dbf8fc744e20,gradle,https://github.com/jMonkeyEngine/jmonkeyengine/pull/1209
tsar,https://github.com/alibaba/tsar,f0eceb7ee043bc0477adff4c36461eeb667490a8,make,https://github.com/alibaba/tsar/pull/102
Cello,https://github.com/orangeduck/Cello,c0ba62ccc6012aa280b17610e1a80cfd4c06e6b3,make,https://github.com/orangeduck/Cello/pull/127
webdis,https://github.com/nicolasff/webdis,79c13ba18aa749149e9fa1b091dd6c564d8c8202,make,https://github.com/nicolasff/webdis/pull/168
density,https://github.com/centaurean/density,a6ed931dd93e244b46a5294013adcaae2f4f0404,make,https://github.com/centaurean/density/pull/88
VRP-Tabu,https://github.com/edoz90/VRP-tabu,c84e7df632968ab14de9c827a9d2849515e9c9db,make,https://github.com/notdodo/VRP-tabu/pull/1
pspg,https://github.com/okbob/pspg,c2980c6d528fbbb004d10d15915c38ce9a00d9e7,make,https://github.com/okbob/pspg/pull/122
janet,https://github.com/janet-lang/janet,9269372768e9181729fa96d4a6a868e758f1fb56,make,https://github.com/janet-lang/janet/pull/235
parcellite,https://github.com/rickyrockrat/parcellite,ecc88823de9af05651bd630c6f26e10b0ba91ff7,make,https://github.com/rickyrockrat/parcellite/pull/41
hdparam,https://salsa.debian.org/debian/hdparm,66cb171684f0285bd692fe659ba627abefe5cd6e,make,https://salsa.debian.org/debian/hdparm/-/merge_requests/3
reptyr,https://github.com/nelhage/reptyr,a3e2dce05b8972f4a3d0d3b66d82696ba78168c3,make,https://github.com/nelhage/reptyr/pull/115
gps-sdr-sim,https://github.com/osqzss/gps-sdr-sim,f91835682af905a4395e10ee4739cb10e5c07cec,make,https://github.com/osqzss/gps-sdr-sim/pull/226
cscout,https://github.com/dspinellis/cscout,b99b7f4f71aa6cacb2f73f20955913e214a01119,make,https://github.com/dspinellis/cscout/pull/55
proxychains,https://github.com/haad/proxychains,87ec01c7624bebf234463cc229a794469bbd2095,make,https://github.com/haad/proxychains/pull/95
gradle-scripts,https://github.com/tomasbjerre/gradle-scripts,4bbca5682cebbdd7481cd0b618f74e3115b1f916,gradle,https://github.com/tomasbjerre/gradle-scripts/pull/2
p2rank,https://github.com/rdk/p2rank,640d0a397830f121a95f5750a0ac391d772a4444,gradle,https://github.com/rdk/p2rank/pull/9
goomph,https://github.com/diffplug/goomph,-,gradle,https://github.com/diffplug/goomph/pull/110
groocss,https://github.com/adamldavis/groocss,1430bd804637ba12cc205b513c39c77e8dd359cf,gradle,https://github.com/adamldavis/groocss/pull/16
ShellExec,https://github.com/phatblat/ShellExec,d90ac9b0cb966684bfdd6441b3d6aee4b7cccfa0,gradle,https://github.com/phatblat/ShellExec/pull/62
anna,https://salsa.debian.org/installer-team/anna,ef4d5faa83e4b5014af243ebd89a7e711d8a417a,make,https://salsa.debian.org/installer-team/anna/-/merge_requests/1
fulibGradle,https://github.com/fujaba/fulibGradle,b119996cb720325fb5a048dda6b2bd3b98758e09,gradle,https://github.com/fujaba/fulibGradle/pull/6/
nf-tower,https://github.com/seqeralabs/nf-tower,e4deebf178dc1b1bbae48e992b0da643de1ba8fc,gradle,https://github.com/seqeralabs/nf-tower/pull/185
alfresco-gradle-sdk,https://github.com/xenit-eu/alfresco-gradle-sdk,759b0913b578eb1680f12010d04aed126f49ac74,gradle,https://github.com/xenit-eu/alfresco-gradle-sdk/pull/34
GradleRIO,https://github.com/wpilibsuite/GradleRIO,6623e7740cbd6480181af5c6ad8f39f458c51285,gradle,https://github.com/wpilibsuite/GradleRIO/pull/361
helios,https://github.com/47degrees/helios,602365861607e99e92d481b5edcdd7565e0a5af4,gradle,https://github.com/47degrees/helios/pull/131
kscript,https://github.com/holgerbrandl/kscript,2aac5ad4f24a7e77703715752814add4533386ad,gradle,https://github.com/holgerbrandl/kscript/pull/252
coveralls-gradle-plugin,https://github.com/kt3k/coveralls-gradle-plugin,c3c856b7539e04a4003f79e9f74462212d2ac8eb,gradle,https://github.com/kt3k/coveralls-gradle-plugin/pull/101
gradle-test-logger-plugin,https://github.com/radarsh/gradle-test-logger-plugin,390ebd025550fb49e6cab46f93a520d57555656d,gradle,https://github.com/radarsh/gradle-test-logger-plugin/pull/140
joystick,https://git.code.sf.net/p/linuxconsole/code,ade6f5bc6a0af445ffdd43b25165d0892b65edb3,make,https://salsa.debian.org/debian/joystick/-/merge_requests/2
cqmetrics,https://github.com/dspinellis/cqmetrics,93de3863ddbe394560282a81d793762c26f2539a,make,https://github.com/dspinellis/cqmetrics/pull/13|14
JenkinsPipelineUnit,https://github.com/jenkinsci/JenkinsPipelineUnit,637e66e2518358f432aeb4e69187a2b956a492b0,gradle,https://github.com/jenkinsci/JenkinsPipelineUnit/pull/167
swagger-gradle-plugin,https://github.com/gigaSproule/swagger-gradle-plugin,d24379ccbb36f50f3c354557012816ef830a2b36,gradle,https://github.com/gigaSproule/swagger-gradle-plugin/pull/161
gradle-swagger-generator-plugin,https://github.com/int128/gradle-swagger-generator-plugin,6248ea2598f9ebed7acdd108893abe5df56b3d90,gradle,https://github.com/int128/gradle-swagger-generator-plugin/pull/186
gradle-sora,https://github.com/soramitsu/gradle-sora-plugin,fb17fe0a9d2da0be9c7b982f42fe4da93b150744,gradle,https://github.com/soramitsu/gradle-sora-plugin/pull/16
tinyrenderer,https://github.com/ssloy/tinyrenderer,f5faf0bd098fda28c54cf1204cea74e1bc5ffbbd,make,https://github.com/ssloy/tinyrenderer/pull/42
libcs50,https://github.com/cs50/libcs50,4e80a0fa4e998def2609f3c0d687ae2d7ab37d6a,make,https://github.com/cs50/libcs50/pull/192
fzy,https://github.com/jhawthorn/fzy,43caa3daa912844e342fc520b4e60eb48e75c3a7,make,https://github.com/jhawthorn/fzy/pull/134
LuaJIT,https://github.com/LuaJIT/LuaJIT,10ddae75af15c8415b162953dcd9dfcee517ce0a,make,https://github.com/LuaJIT/LuaJIT/pull/546
